ID temp;Valor medicion
1;20.6
2;20.9
3;20.8
4;21
5;21.1
6;21.5
7;21.3
8;21.8
9;22.3
10;22.8
11;22.5
12;21.8
13;21.6
14;22
15;22.4
16;22.4
17;21.5
18;20.7
19;21.1
20;21.1
21;20.9
22;20.8
23;21
24;20.5
25;21.1
26;20.6
27;20.4
28;20.8
29;20.9
30;21.5
31;21.4
32;20.8
33;20.5
34;20.4
35;20.4
36;20
37;20.5
38;20.3
39;20.7
40;21.3
41;20.4
42;20.2
43;20.3
44;20.1
45;20.7
46;21.1
47;21.6
48;22.1
49;22.2
50;22.5
51;23
52;22.2
53;22.9
54;22.7
55;21.2
56;21.5
57;21.4
58;21
59;20.8
60;21
61;21.3
62;21.7
63;22.4
64;22.2
65;21.8
66;22.4
67;22.6
68;21.8
69;21.5
70;21.8
71;21.8
72;21.1
73;20.9
74;20.6
75;20.9
76;20.2
77;19.7
78;19.7
79;19.7
80;19.6
81;19.4
82;19.1
83;18.7
84;18.9
85;18.8
86;18.3
87;18.7
88;18.6
89;18.2
90;17.6
91;17.8
92;18.9
93;18.7
94;18.4
95;18.8
96;20
97;19.2
98;19.9
99;20.5
100;19.3
101;19.1
102;19.3
103;18.3
104;18.6
105;17.6
106;18.8
107;18.6
108;18.3
109;17.5
110;17.4
111;17.7
112;18.5
113;18.6
114;17.7
115;17.8
116;18.1
117;17.9
118;18.7
119;18.5
120;16.9
121;17.7
122;18.1
123;17.5
124;17.3
125;17.4
126;18.5
127;18.3
128;18.1
129;16.8
130;17.7
131;17.8
132;17
133;16.5
134;17.3
135;16.8
136;17.8
137;16.5
138;17.1
139;16.3
140;17.2
141;17.9
142;17.9
143;17.7
144;17.6
145;17.6
146;17.6
147;18
148;18
149;18.2
150;17.9
151;18.1
152;17.2
153;16.8
154;17.1
155;16.8
156;17.6
157;18
158;16.7
159;17.3
160;17.1
161;14.8
162;15.5
163;15.7
164;15.9
165;16.3
166;16.6
167;17.1
168;14.7
169;15.3
170;13.8
171;14.3
172;14.7
173;15
174;15.6
175;15.4
176;15.9
177;16.3
178;17
179;15.3
180;16.5
181;16.3
182;16.5
183;15.9
184;16
185;15.8
186;16
187;15.6
188;15.9
189;16.5
190;16.3
191;16.2
192;16.4
193;16.2
194;16.6
195;16.4
196;15.7
197;15.4
198;15.2
199;15.4
200;15.2
201;15.3
202;15.5
203;15.4
204;15.7
205;15.3
206;14.1
207;15.7
208;15.7
209;15.7
210;15.5
211;15.5
212;15.7
213;15.7
214;15.7
215;16.3
216;15.9
217;15.4
218;15.8
219;15.7
220;15.4
221;14.7
222;14.9
223;15.4
224;15.9
225;15.7
226;15.7
227;15.4
228;14.8
229;15.2
230;14.9
231;15
232;15
233;14.8
234;14.8
235;14.5
236;14.4
237;14.8
238;14.9
239;15.1
240;15.1
241;15.5
242;15.4
243;15.3
244;15.4
245;15.4
246;15.3
247;15
248;14.9
249;14.9
250;15.3
251;15.4
252;15.2
253;16
254;16
255;15.7
256;15.5
257;15
258;14.4
259;15
260;14.9
261;15.4
262;15.6
263;15.5
264;15.2
265;14.8
266;15.1
267;15.1
268;15.3
269;15
270;15.5
271;15.4
272;15.7
273;15.4
274;14.3
275;14.4
276;15
277;15.2
278;15.2
279;14.2
280;15.3
281;16.3
282;15.2
283;15
284;16.4
285;16.2
286;16.2
287;16.2
288;15.9
289;16.2
290;15.9
291;16.5
292;16.9
293;16.8
294;16.8
295;16.5
296;15.7
297;16.3
298;16.7
299;17.3
300;17.1
301;17.3
302;17.2
303;17.1
304;16.3
305;17.2
306;16
307;17.4
308;17.6
309;17.8
310;17.6
311;17.1
312;17.5
313;17.6
314;17.6
315;18.9
316;18.4
317;18.6
318;18.4
319;19.3
320;19.4
321;18.3
322;19.5
323;18.9
324;20.3
325;20
326;19.3
327;19.3
328;19.7
329;19.4
330;19.9
331;19.2
332;19.7
333;20
334;20.4
335;18.9
336;20.3
337;18.6
338;18.8
339;19.2
340;19.9
341;20.1
342;20.2
343;21.2
344;21.5
345;22.2
346;22.6
347;22.7
348;21.9
349;21.3
350;22
351;22.8
352;23.1
353;21.5
354;20.8
355;21.2
356;21.1
357;22.1
358;22.1
359;22.7
360;22.1
361;21.2
362;20.6
363;21.4
364;21
365;21.1
