ID temp;Valor medicion
1;13.6
2;13.8
3;14.9
4;13.5
5;13.5
6;14.2
7;16.2
8;17.5
9;17.1
10;17.8
11;15
12;15.8
13;15.4
14;16.1
15;13.6
16;11.2
17;9.4
18;11.6
19;14.7
20;11.9
21;14.3
22;14.2
23;14.6
24;14.3
25;14.1
26;14.5
27;18.6
28;18
29;15.3
30;13.6
31;12.4
32;15.5
33;16.1
34;16.4
35;15.8
36;13.9
37;14.7
38;15
39;16.1
40;14.3
41;13.1
42;12.2
43;14.6
44;15.1
45;15.6
46;14
47;15.6
48;13.1
49;13.2
50;15.9
51;14.1
52;18.3
53;17.4
54;15.9
55;15.9
56;15.3
57;15.3
58;13
59;12.7
60;14
61;16
62;15
63;10.5
64;11.1
65;12.9
66;13.8
67;13.3
68;10.3
69;11.8
70;12.3
71;13.1
72;11.4
73;12.5
74;13.9
75;13.3
76;10.7
77;9.1
78;9.4
79;12.2
80;12.9
81;11.7
82;10
83;9.1
84;12.4
85;10.5
86;11.5
87;10.9
88;8.9
89;7.3
90;8.2
91;11.1
92;11.7
93;7
94;9.6
95;12.7
96;13.4
97;13.8
98;11.9
99;10.7
100;8
101;8.1
102;8.5
103;9.5
104;10.7
105;10.2
106;11.2
107;10.7
108;11.9
109;9.8
110;8.3
111;11
112;10.5
113;10.4
114;9.4
115;7.6
116;7.8
117;6.6
118;5.1
119;3.7
120;4.6
121;10.2
122;9.9
123;10.5
124;12.9
125;12.6
126;12.9
127;12.5
128;12.6
129;7.4
130;6.4
131;7
132;10.4
133;5.4
134;8.1
135;8.2
136;6
137;5.1
138;6.2
139;10.4
140;11.8
141;11
142;8.8
143;6.4
144;6.2
145;2.9
146;2.9
147;5.5
148;5
149;3.4
150;1.1
151;2.5
152;0.7
153;2.2
154;6.2
155;8.1
156;4
157;9
158;9.3
159;8.9
160;4.2
161;1.6
162;2.9
163;4.5
164;8.5
165;8.9
166;7.3
167;6.4
168;3.8
169;5.5
170;7.4
171;6.4
172;1.6
173;1.7
174;1
175;3.8
176;1.8
177;1.4
178;5
179;9.9
180;7.8
181;6.2
182;5.9
183;4.6
184;5
185;5.2
186;6.4
187;6
188;6
189;8.4
190;7.7
191;6.7
192;6.4
193;5.6
194;3.4
195;2.3
196;2.1
197;1.7
198;5.8
199;3.1
200;4.4
201;8.3
202;3
203;5.4
204;9.9
205;8.1
206;6.8
207;8.9
208;7.4
209;6.2
210;3.9
211;6.8
212;5.6
213;6.1
214;3.4
215;3.4
216;4.9
217;4.2
218;6.6
219;5.6
220;4.4
221;4.1
222;4.2
223;9
224;8.1
225;8.5
226;5.8
227;4.4
228;6.8
229;4.8
230;4.7
231;8.1
232;9.9
233;8.4
234;7.2
235;8
236;3.4
237;6.1
238;7
239;4.3
240;3.5
241;4.5
242;5.2
243;8
244;7.4
245;4.9
246;5
247;8.1
248;7
249;9.9
250;7.9
251;5.9
252;6.8
253;7.3
254;8.5
255;9.2
256;9.7
257;11.6
258;10.4
259;5.2
260;5.1
261;6.6
262;6.2
263;4.5
264;5.6
265;8.3
266;8.8
267;5.7
268;7.6
269;9.6
270;7.6
271;9.7
272;8.5
273;9.8
274;9.7
275;9.8
276;10.8
277;11.1
278;8.2
279;8.6
280;10.2
281;6.1
282;7.6
283;8.1
284;7.4
285;8.7
286;4.9
287;11
288;8.8
289;10.2
290;13.3
291;13.2
292;11.3
293;10.5
294;8.1
295;8.4
296;8.7
297;12.9
298;12.5
299;12.2
300;9
301;10.5
302;9.3
303;7
304;8.2
305;10.7
306;13
307;14.2
308;11.7
309;14.1
310;13.3
311;12.6
312;16
313;13.3
314;13.5
315;13.9
316;12.9
317;13.2
318;13.8
319;15
320;14.6
321;15.2
322;15.6
323;9.2
324;9.2
325;10.9
326;13.1
327;15.2
328;11.2
329;12.4
330;14.2
331;16.4
332;14.9
333;13.3
334;10.3
335;10.1
336;13.7
337;14
338;13.7
339;13.8
340;14.7
341;16.4
342;17.3
343;15.3
344;14.5
345;13.9
346;13.9
347;15.5
348;14.5
349;13.7
350;14.3
351;14.1
352;13.9
353;15.2
354;16.8
355;17.9
356;14
357;11.2
358;12.7
359;16.8
360;15.4
361;11.8
362;12
363;12.6
364;14.3
365;14.1
