Dia;Precipitaciones;Precipitaciones (hora);Evapotransporacion (diaria) [mm];Evapotransporacion (hora) [mm]
1;0;0.0000;2.28;0.0950
2;0;0.0000;2.62;0.1092
3;0;0.0000;4.77;0.1988
4;0;0.0000;5.2;0.2167
5;0;0.0000;2.2;0.0917
6;0;0.0000;1.54;0.0642
7;0.6;0.0250;2.94;0.1225
8;3;0.1250;3.9;0.1625
9;0;0.0000;3.63;0.1513
10;0;0.0000;1.3;0.0542
11;0;0.0000;1.36;0.0567
12;0;0.0000;1.22;0.0508
13;0;0.0000;1.74;0.0725
14;0;0.0000;2.27;0.0946
15;0;0.0000;1.31;0.0546
16;0;0.0000;2.79;0.1163
17;0;0.0000;2.44;0.1017
18;0;0.0000;2.41;0.1004
19;0;0.0000;2.14;0.0892
20;0;0.0000;2.75;0.1146
21;0;0.0000;2.11;0.0879
22;0;0.0000;2.88;0.1200
23;0;0.0000;2.42;0.1008
24;0;0.0000;2.3;0.0958
25;0;0.0000;4.62;0.1925
26;0;0.0000;4.5;0.1875
27;0;0.0000;3.78;0.1575
28;0;0.0000;4.11;0.1713
29;0;0.0000;1.33;0.0554
30;0;0.0000;1.47;0.0613
31;0;0.0000;0.9;0.0375
32;0;0.0000;1;0.0417
33;0;0.0000;1.23;0.0513
34;0;0.0000;1.39;0.0579
35;0;0.0000;1.54;0.0642
36;0;0.0000;1.9;0.0792
37;0.2;0.0083;0.77;0.0321
38;0;0.0000;0.91;0.0379
39;0;0.0000;0.82;0.0342
40;0.1;0.0042;0.86;0.0358
41;0.1;0.0042;1.05;0.0438
42;0;0.0000;1.68;0.0700
43;0;0.0000;1.29;0.0538
44;0;0.0000;0.95;0.0396
45;0;0.0000;1.12;0.0467
46;0;0.0000;1.15;0.0479
47;0;0.0000;1.4;0.0583
48;0;0.0000;1.46;0.0608
49;0;0.0000;1.15;0.0479
50;0;0.0000;2.35;0.0979
51;0;0.0000;1.63;0.0679
52;0;0.0000;1.22;0.0508
53;0;0.0000;1.21;0.0504
54;0;0.0000;1.23;0.0513
55;0;0.0000;2.07;0.0863
56;0;0.0000;1.91;0.0796
57;0;0.0000;3.13;0.1304
58;0;0.0000;2.54;0.1058
59;0;0.0000;3.2;0.1333
60;0;0.0000;2.12;0.0883
61;0;0.0000;1.19;0.0496
62;0;0.0000;1.03;0.0429
63;0;0.0000;1.23;0.0513
64;0;0.0000;2.18;0.0908
65;0;0.0000;1.95;0.0813
66;0;0.0000;3.25;0.1354
67;0;0.0000;1.85;0.0771
68;0;0.0000;2.24;0.0933
69;0;0.0000;1.94;0.0808
70;0;0.0000;1.06;0.0442
71;0;0.0000;0.99;0.0413
72;0;0.0000;0.8;0.0333
73;0;0.0000;0.61;0.0254
74;0.7;0.0292;0.61;0.0254
75;0.1;0.0042;0.83;0.0346
76;0;0.0000;0.92;0.0383
77;0;0.0000;1.72;0.0717
78;0;0.0000;1.68;0.0700
79;0;0.0000;1.15;0.0479
80;0;0.0000;2.24;0.0933
81;0;0.0000;1.46;0.0608
82;0;0.0000;1.97;0.0821
83;0;0.0000;2.39;0.0996
84;0;0.0000;1.05;0.0438
85;0;0.0000;0.96;0.0400
86;0;0.0000;1.48;0.0617
87;0;0.0000;1.51;0.0629
88;0;0.0000;2.39;0.0996
89;0;0.0000;3.38;0.1408
90;0.2;0.0083;2.6;0.1083
91;0;0.0000;0.78;0.0325
92;0;0.0000;0.58;0.0242
93;0;0.0000;1.49;0.0621
94;0;0.0000;1.16;0.0483
95;0;0.0000;0.88;0.0367
96;0;0.0000;0.64;0.0267
97;0;0.0000;1.24;0.0517
98;0;0.0000;0.76;0.0317
99;0;0.0000;1.5;0.0625
100;0;0.0000;1.5;0.0625
101;0;0.0000;1.32;0.0550
102;0;0.0000;1.28;0.0533
103;0;0.0000;1.01;0.0421
