ID temp;Valor medicion
1;14.5
2;13.1
3;12.5
4;12.0
5;11.5
6;10.8
7;10.7
8;9.8
9;9.7
10;8.7
11;8.8
12;12.3
13;14.6
14;17.1
15;17.4
16;19.5
17;20.4
18;22.8
19;24.4
20;25.5
21;22.2
22;20.5
23;19.4
24;18.5
25;15.8
26;14.6
27;13.6
28;12.9
29;12.8
30;12.7
31;12.3
32;11.6
33;11.2
34;11.3
35;10.4
36;13.3
37;15.5
38;18.4
39;19.7
40;22.5
41;23.8
42;25.8
43;26.5
44;26.4
45;26.3
46;25.0
47;21.5
48;18.7
49;17.0
50;15.5
51;15.0
52;14.7
53;14.2
54;13.3
55;13.6
56;13.6
57;13.6
58;16.7
59;18.9
60;19.0
61;20.3
62;23.1
63;27.1
64;27.6
65;29.2
66;27.6
67;25.9
68;24.0
69;22.9
70;20.3
71;17.4
72;16.1
73;15.5
74;14.8
75;14.3
76;14.4
77;14.1
78;14.0
79;13.8
80;13.5
81;15.3
82;16.9
83;20.1
84;21.9
85;23.3
86;26.6
87;27.6
88;26.7
89;25.8
90;23.5
91;22.3
92;20.8
93;19.1
94;16.6
95;15.1
96;13.9
97;13.3
98;12.7
99;12.3
100;11.9
101;11.9
102;14.1
103;16.8
104;17.8
105;19.7
106;20.1
107;20.9
108;22.7
109;21.7
110;21.7
111;20.7
112;19.0
113;19.4
114;16.7
115;14.8
116;13.7
117;13.5
118;12.8
119;12.7
120;12.7
121;12.6
122;12.4
123;11.8
124;12.0
125;12.4
126;12.7
127;15.0
128;16.6
129;18.0
130;18.3
131;18.6
132;20.4
133;21.9
134;21.7
135;22.0
136;20.8
137;18.5
138;15.7
139;14.1
140;13.2
141;12.7
142;11.8
143;11.5
144;11.6
145;11.1
146;10.7
147;12.0
148;15.4
149;16.2
150;17.1
151;18.0
152;19.1
153;19.6
154;20.3
155;18.7
156;18.7
157;18.5
158;19.0
159;17.4
160;15.3
161;13.6
162;12.4
163;12.4
164;12.5
165;12.6
166;12.5
167;12.6
168;13.1
169;13.4
170;13.7
171;13.7
172;16.4
173;15.6
174;15.7
175;16.4
176;17.1
177;16.7
178;15.4
179;14.3
180;14.8
181;14.7
182;14.6
183;14.8
184;
185;14.6
186;14.5
187;15.0
188;16.0
189;17.1
190;17.5
191;18.5
192;19.1
193;19.7
194;19.7
195;18.9
196;19.1
197;17.6
198;16.3
199;14.7
200;14.9
201;14.8
202;14.3
203;14.0
204;13.4
205;13.1
206;12.9
207;12.7
208;12.9
